ID,Gender,Age,Country,How often movies,How often games,Women in media important,Use Bechdel before,Is Bechdel good?,Bechdel comments,Modifications on Bechdel,What Bechdel Mods,Film good rep,Games good rep,Strength,Strength comments,Good strong traits,Bad strong traits,Historical context,Context comments,Representation changed,Rep changed comments,Film Narrative,Film Characters,Game Narrative,Game Characters,Game Gameplay,Personally assess
28,Non-binary,18 - 23,United Kingdom,At least once a day,At least once a week,Quite important,"Yes, I have heard of and used it before",No,"The Bechdel Test was invented as a casual joke for Alison Bechdel’s comic. It was never truly meant to be taken seriously, and it’s odd the degree to which that it still is. There are other ways to interact with gender and women’s representation that do, in fact, revolve around interactions with men. Patriarchy is all around us, and our reflections on it are as important as our own stories outside of men. ",Other (please clarify in Question 14 below),"I think that the test is irrelevant, and thus no “improvement” on it would be necessary. We need different frameworks altogether, not just to adapt and modify popular ones.","Women Talking (2022), focusing on women’s interaction with abuse from a woman’s point of view, the later works of Ursula K. Le Guin which present women as parts in a spectrum of identity and human variation, the films of Claire Denis, which show women’s sexuality bluntly and erotically. Alien, which focuses on womanhood away from notions of childbirth and motherhood and in fact charges womanhood against it.","Hellblade, which presents a woman with vulnerability that is honest and sympathetic but never melodramatic, God of War Ragnarök by presenting Freya as justified in her rage against her abuser, Life Is Strange where queer womanhood is taken for granted and those women are given fulfilling emotional lives",Yes,"“Strong” is a vague term with loaded connotations (it is opposed to “weak” for example, not just in writing but in character)","Self-assuredness, unashamed ugliness, antinormative physicality (e.g. fat, buff, bald, disabled, disfigured etc.), realistically written even if that involves a certain weakness or fragility of character",Dependence on a protagonist,Historical accuracy/context can justify a lack of representation in some instances,"Sometimes a metacommentary is a given, but not always",Yes,"I do, however I think overt women’s sexuality is not always a negative ","Does the narrative revolve around a certain stereotype of a character? Are narrative tropes invoked that reinforce stereotypes or negative ideas of minority figures? Does the narrative enforce a certain model of being even if the characters push back against it? Is the narrative based in any historic structures (e.g. Aristotelian tragedy, typical Film Noir), and does it subvert them or pay pure homage?",Do the characters have depth and does that interact in any meaningful way with the narrative? Does that depth come into play with elements of minority being?,Are characters active in the narrative? Is that narrative accessible or only visible in lore dumps or logs? How much of the narrative do the characters actually belong to?,"How they interact with the narrative, how their interactions shape the tone of the piece, whether there is dissonance between their interactions and the gameplay and whether that is interesting or irritating, how often they interact, whether they break the fourth wall. Are they aware of their existence as representative or are they passive actors?","Do the characters move differently depending on gender/sexuality/ability etc? Does playing a woman make me feel fast but fragile? Does playing a man feel more hulking and violent? What kinds of gameplay does each character involve themself in, more passive (e.g. puzzles, lore dumps, QTEs) or more active (e.g. combat)","By looking at the character’s location within the game, the way that personally makes me feel (affective analysis), and it’s interactions with the elements described above in relation to the current moment/the moment contemporary with its release or creation"
29,Woman,30-35,United Kingdom,At least once a month,At least once a month,Very important,"Yes, I have heard of and used it before",Yes,"I feel it has a flaw in that it doesn't consider how women characters are talked about by or interact with male characters. For example in a male-centric film, representation of non-present women could be positive through their discussion",No,,"I'm currently watching Stranger Things for the first time, I think this show does a good job of representing the struggles of women characters not being heard and especially in the character of Eleven (a psychic girl born of the MKUltra project). She is other within the design of her character but it feels emblematic of the control and power exerted on women by patriarchy.",,Yes,,,,Historical accuracy/context can always justify a lack of representation,Emphasis on historical accuracy - hypothetical context is not a good ustification ,Yes,,,,,,,
30,Man,24-29,United Kingdom,At least once a day,At least once a day,Quite important,"Yes, I have heard of it before",Yes,n/a,Yes,,,"bayonetta, uses female sexuality as a weapon rather then exploitative. wild arms 3, main character not sexualised, rare for a jrpg",No,,stand as in induvial character and plot wise,over reliance on men to solve their issues,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"plots can often be character drive and/or story driven, characters can go through changes due to the plot or the plot can change due to the characters choices",,,,,
31,Man,18 - 23,Canada,At least once a week,At least once a week,Quite important,No,Yes,I think it works fine,Yes,,"  In Black Panther, the women are written really well and are crucial to the plot. Additionally, they are not damsels in distress and can take action when necessary.","Samus Aran from Metroid. In my opinion, she is a great character who is smart and strong. Back then, most games were marketed primarily to boys, so people used to think Samus was a man. Samus was revealed to be a woman in one of the games, showing that women are strong and capable of being bounty hunters.",Yes,,,,Historical accuracy/context can always justify a lack of representation,,Yes,,,The Traits the characters have and how they communicate with other people throughout the show or film,,"From the beginning of the game to the end, how they act and grow","Samus, for instance, is a bounty hunter. She shoots aliens and pirates in a tough 2D metroid vania. This represents her well since you feel like a hunter throughout the game. As Samus progresses through the game, she gains powerups that demonstrate her strength.","My opinion is that female representation in video games has improved considerably when compared to how female characters used to be in games simply to appeal to men. There are now amazing characters like Aloy from Horizon, Samus from Metroid, and many more!
"
32,Man,24-29,United States,At least once a week,At least once a day,Very important,No,Other (please clarify in Question 12 below),I do not know what the Bechdel test contains,Other (please clarify in Question 14 below),No ,"As a kid growing up, my favorite sci fi protagonist was Ellen Ripley from the alien series. She felt very genuine and motherly which had those aspects only amplify the awesome moments where she got to be a big badass. Those innately feminine traits weren’t portrayed as weakness like in big manly action movies. ","I think fighting games exemplify my favorite aspects of characters in any media as their personalities are what draw in players on a first playing to choose them in battle. There’s super gross egregious examples for sure like with Dead or Alive.  But when a female fighting game character is done right, I think they’re my favorite of the roster in most instances. My favorites being Makoto and Sakura from the Street Fighter series. Their personalities are what draw me in. ",Other (please clarify in Question 18 below),"I don’t think strength is inherently tied to a specific feat or attribute. Strength can be measured in many forms other than physical and mental. I think strength is best exemplified through a character accomplishing insane feats through their own capabilities, learning to overcome their boundaries and limits for the sake of them selves and others. Mentally, physically or emotionally. Female characters can often show a unique interpretation of strength through both the embracing of strong feminine traits that can aid in breaking through stereotypical molds painted by generations of misrepresentation.  ","Personality, Charisma, willingness to break out of a comfort zone, embracing feminine traits as human traits, able to feel vulnerable as to rise even stronger than before, having an unflinching yet moldable resolve. ","When they feel unrealistically written from a personality standpoint. You can feel when a hack job doesn’t know how to write women by how underdeveloped they feel. This can include severely inflated senses of emotional weight or iconography and on the other side of the coin, having the character constantly shafted, backseated or dumbed down as if the character is only there to be a female and nothing else. It’s a delicate balance, but then again so is all character writing I feel. ",Historical accuracy/context can justify a lack of representation in some instances,"It depends on the story being told, obviously if it was a specific story in World War Two that involved specific people, you cannot meddle in that source material as it would be disrespectful to those who lived it. However if World War II is the setting then people can be free to represent who they feel should be represented in an extremely large and nuanced period in world history. ",Other (please clarify in Question 24 below),"I think the argument could be made that in their inception, yes they might’ve been designed as eye candy. but as those series’ moved forward, those characters have blasted through any stereotypes and prejudices and have become great characters in their own right. ","The narrative can force a characters personality into situations they must react to. A personality test if you will. Having this character realistically react to an event or plot thread accordingly is dependent on plot, events and setting. ","Their physical appearance, personality and their ability to overcome challenges shown to them in the narrative. ",I’d say the same thing as I did in question 25.,Same answer as 27,This can define a character for some as the way a game plays with a character that you pick can wave perception into good or bad. IE: fighting games with a cool looking character that’s either plays insanely good or insanely bad.,"I think there’s strides that need to be made in areas, but as I look around I’m proud of the medium for at the very least embracing that demographic of people who indulge in the medium. Obviously, there’s no guidebook on how to write specific characters. But I think if writers keep their respect in their characters, we can only go up. "
33,Man,18 - 23,United States,At least once a week,At least once a day,Quite important,"Yes, I have heard of and used it before",Yes,"There could be at least one more conversation to have good representation, ensuring the one conversation wasn't just coincidence or a stereotype.",Yes,"There could be at least one more conversation to have good representation, ensuring the one conversation wasn't just coincidence or a stereotype.",Amphibia's three main characters all go through several character arcs without a man being the focal point.,"The Yakuza/Like A Dragon series has many women that are in well off jobs/positions of power and respected by their peers. (Kaoru Sayama, Saeko Mukoda, Seong-hui)",No,My idea of a strong female character is one that is written just as well as the others in a story without any positive or negative bias in any case.,,A storyline involving insistence to prove they are equal to those around them is usually overdone in settings where it would be in the writer's control to simply make inequality not exist.,Historical accuracy/context can justify a lack of representation in some instances,"Accuracy's importance depends on if the creator intends to craft a faithful or unique take on a subject. At the end of the day, it personally doesn't matter too much to me, what matters is the finished product is enjoyable.",Yes,Characters that were created to be Male Gaze fodder becoming multilayered with personality is one of the coolest things I've seen happen to gaming.,"Episode structure, episode length, story arcs","Relationships, personality, status as a protagonist or deuteragonist","Quest relevance, use in cutscenes","Importance to the protagonist, importance to the world","Enjoyable to control, unique to control","If they make a lasting positive impact on me, they did a good job."
34,Woman,18 - 23,United States,At least once a year,At least once a day,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"imo, the test focuses too much on just the piece of media itself. Even if all the criteria were met for that test, if the people who worked on the media/scene were all men, I feel like it representing a man's perspective on how women act rather than it being a representation of women. I don't think it's impossible for someone to make a story with representation of groups the person making it is not a part of, however I do think they need some kind of consultation from people within the groups they're representing for me to consider it true representation.",Yes,"Like I said before, I feel like there should be some focus on the production aspect of the media being created, not just the piece media itself.",Skylar White from breaking bad comes to my mind. I think they did an excellent job at portraying how a mother and wife would react to the horrible situations within the show. ,probably Dorothy from vall hall-a. She's a sex worker who talks a lot about the emotional labor that's a part of the field.,Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,I tend to find this argument to be used mostly as post hoc justification for why people get upset at representation in certain media. There are some cases where I think it can be legitimate but for the most part I find it's a weak excuse. ,Yes,,"dialogue, plot, cinematography","design, dialogue, role","dialogue, plot","design, dialogue",how well it meshes with the narrative. ,"To simplify, I think there's bad, neutral, and actively good representation. Bad representation would portray women in a negative or heavily reinforce negative stereotypes. Neutral would be them not doing anything that I would consider bad representation but also doesn't really do anything beyond just having a female character. To be clear, I do think it is good to have this even though I describe as ""neutral"" representation but I do actively want some media to go further than that. For something to be actively good representation it would include representation of a female character where their female status is actively an important role within the story and couldn't be replaced by a male character. "
35,Genderless,18 - 23,Greece,At least once a week,Less than once a year to never,Very important,"Yes, I have heard of and used it before",Yes,"While I do feel that it is helpful, I do believe that there could be more nuance to it",Yes,,I enjoyed the variation in shows like A League of their Own (2022) and The Sex Lives of College Girls (2021),,Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"Music, Setting ","Character Design, Dialogue",,,,
36,Man,18 - 23,United States,At least once a day,At least once a day,Quite important,No,Other (please clarify in Question 12 below),"it sounds like the test from this definition could be used as a basic check list of having media that can be seen as progressive, rather than having compelling female characters. Not necessarily a bad test, but could be seen too black and white.",Yes,I think these additions are what I was thinking when it comes to the previous question regarding the test.,"Better Call Saul - Kim Wexler as a character is very much a reflection of a woman within a male dominated working culture, and she carries herself highly in order to out smart and save her male co-stars, Neon Genesis Evangelion - Asuka is a character who carries herself highly but does in fact want the approval of others, and these emotions manifest into dark actions fueled by self hatred, Chainsaw Man - Another blanket statement due to the large amount of female characters, but they all hold some sort of strong narrative and written strengths that show growth and strong emotional resonance.","Nier Replicant ver.1.22474487139... - Kaine is an intersex woman who has faced decades of discriminations, but learns to open up and grow to love those close to her along with finding self love for herself, Fallout: New Vegas - One of the companions, Veronica, is a character filled with spunk who wants to constantly help those around her, even if it can lead to her own self detriment. However the love she carries to other characters in the world when the world itself is bleak is much needed sunshine, Apex Legends - This will be a blanket statement since there are so many female characters apart of the cast, but the female characters are all well fleshed out with detailed and loving or hostile relationships to other characters that vary in emotions and detail, all with fun banter among the cast members.",Other (please clarify in Question 18 below),"I feel like the question isn't true to female characters, I feel like most characters that I think are fantastically written all have a defining trait, regardless of gender identity.","head strong, defiant, stoic, cold, have a personal agenda","annoying, bumbling, self centered with no pay off",Historical accuracy/context can justify a lack of representation in some instances,,Yes,"No, I feel like over the years we have seen the evolution of pre existing female characters in multiple instances of media","Firstly the narrative must work by itself, it should contain compelling story beats along with making sense. Secondly the narrative must afflict and effect the characters at a fundamental level, it must help the characters evolve and push their motivations forward. ","character writing, character dynamics and how said characters interact with the narrative itself (how it affects them and if they have narrative power to manipulate the outcome). If these two components are extremely weak to me most of the time the film or show will be weaker in my opinion. The best shows and movies ive seen (Manchester by the Sea, Inglorious Basterds, Better Call Saul, Breaking Bad, NGE) carry these 3 components.","I feel like my thoughts on narrative from films and tv apply here as well, however video games can do this more creatively such as Nier replicant forcing the player to replay the game multiple times to see more narrative beats that evolve the characters further. However it also runs the risk of the narrative becoming weak due to the game lasting longer than the narrative can, or the inverse.","character design, animation, and voice acting share equal value to me. All three of these factors help identity and personality ooze from characters. Fighting game characters are fantastic examples of what I mean.","I feel like my answer in the previous question apply here as well, gameplay and my previous answers can be amazingly intertwined with gameplay. The Last of Us Part 1 and 2 showcase the sheer animalistic violence in the melee combat the characters engage in, letting us peer into their inner psyche at their respective point in the narrative.","I feel like strides have definitely been made over the years when it comes to representation, with very very strong female characters in a good chunk of games. However that is not necessarily the norm quite yet."
37,Man,24-29,United States,At least once a week,At least once a day,Very important,"Yes, I have heard of and used it before",Yes,Pretty surface level analysis,Yes,I don't necessarily feel like a test with specific criterion is the best way to determine how well women were portrayed in a particular piece of media,"Jujutsu Kaisen, Brooklyn 99, Chainsaw Man; They all portray women as realistic/powerful, the characters are seen as just another human being as opposed to a woman specifically to be sexualized or treated differently in some way.","Hades, Indivisible, Lunistice, Portal/Portal 2, Shantae, Transistor; Well represented, likeable, deep female characters ",Yes,I can agree to an extent,"Physical strength, emotional intelligence, book smarts, confidence","Stupid/ditzy, pushover, overtly sexualized, objectified",Historical accuracy/context can justify a lack of representation in some instances,"Historical context can certainly justify a lack of or abundance of a particular representation, however that doesn't necessarily mean outright excluding certain groups is necessary or respectful",Yes,Samus is a great example,"Relationship with male characters, overall plot, time period, theme","Age, intelligence, physical capability, conversational ability","Relationship with male characters, overall plot, time period, theme","Age, intelligence, physical capability, conversational ability","Movement options, gameplay flow, health pool, damage output","Based on the visual design of the character, their personality, and their moveset"
38,Woman,42-50,United States,At least once a day,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),"I feel it's incomplete, because two woman can talk about many subjects that have nothing to do with men and still be dimensionless or stereotyped.",Yes,"Various criteria that add up to the woman characters having agency, their own full stories (e.g. they don't exist just for the advancement of male plotlines/concerns/personal growth, e.g the classic manic pixie dream girl trope)","Grace and Frankie; while their lives initially revolve around men, it's how they deal with the fallout of male behaviour on their own terms and develop as individuals","Ni No Kuni, Donut County, My Time at Portia/Sandrock; while not perfect, I don't recall having moments where I was wincing because of gender stereotypes (though the gay stereotype in Portia was painful). Donut County is maybe a strange example, but all the characters seemed so on par in terms of gender that I just never even thought about it, and I think possibly that's one good goal, especially where one isn't trying to make something explicitly feminist (another good goal, but not always what a game designer will be aiming for) ",Yes,I agree that there's no single correct definition of a strong character and nor do I think that having strength as a trait is necessarily important to being a robust and well-designed/written character.,"Individuality, believable back story and placement in any social circles, own goals, ","""girl ex machina"", i.e. no one really knows where she's from or what her deal is, but she's here as a plot device to achieve some end for other characters",Historical accuracy/context can justify a lack of representation in some instances,"It's important to not whitewash historical events for the sake of making them more palatable. But we don't have to celebrate mistreatment, etc. either.",Yes,"Recommend reading Ways of Seeing by John Berger (section about male gaze). Really good for thinking about how woman have been socialised to be accustomed to being looked at (""spectated upon"") where as men are raised to be ""spectators"" of women, and how this plays into how see ourselves and others, and how this dynamic has been represented throughout history in art and media.","Basically, whenever there's a non-white, non-cis, non-male character, regardless of whether they're the main character or not, the components that determine to what extent they exist for the sake of someone else and to advance narratives other than their own. E.g. do the plot and dialogue suggest that they are people with their own lives and interests, even if they're only in one small scene?","In particular, the aspects of character design that determine to what degree a character is reduced to a trope or stereotype. ","Where there's an actual story in a more or less traditional sense, e.g. in a jrpg, much of the above applies.  ","This one's interesting, because with video games, some work on the basis that the player is inhabiting the main character, so they sort of write themselves into the story. This becomes frustrating when the character design options in the visual sense don't meet one's hopes/expectations or when the dialogue choices feel out of character, which then can sort of take the player out of the game emotionally and make it less immersive. In other games, you're not so much being yourself as inhabiting an essentially complete package and trying to steer them in the right direction in order to get the outcome the designers intended. The degree of player choice/illusion of control can be a spectrum, e.g. Minecraft to Animal Crossing to BOTW to NES Super Mario Bros. So what I'm saying is that choice, or the intended perception thereof, is important because the designer has to decide what degree of control they are retaining over representation. If player-focused, then they have to decide what resources to put into designing in a lot of choices for self-representation. If the character is determined by the designer, they have to keep in mind that the player is along for the ride and take full responsibility for representation.","I think options and opportunities are quite important, i.e. can characters do and possess stuff on the basis of aspects other than stereotyped interests or roles, e.g. is it just the girls getting the dumbass lingerie armour ","If there are sex/gender-related tropes, I like them to be clearly self-aware and ideally ironic. If it's a game with a proper story and a female character can be easily summed up as ""oh that's the mouthy/girly/sexy/bookish/whatever"" one, it feels like we need to make more progress. Whether I enjoy it anyway or find it irritating typically comes down to whether there are additional aspects to the character that make them feel like a more complete person and not just e.g. an identikit *dere."
39,Man,42-50,United Kingdom,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",No,"It's incredibly crude and binary. In some circumstances it's a low-low-low bar, in others passing it for it's own sake could feel very contrived.",No,I don't believe the Bechdel test is a sufficient yardstick for representation. It seeks to apply a Boolean paradigm to polymorphous media representation of a gender spectrum. It's like using economics to predict the weather.,"[Can't do line breaks so using # for numbered list] #1 Buffy the Vampire Slayer: feminist reframing of female role from victim to heroine. #2 Handmaid's Tale: uses dystopian patriarchy to explore feminine subjugation. #3 Watchmen (series): created a sequel to a seminal graphic novel that gave agency and prominence to female (and minority) characters. #4 Billions: presented female and NB characters as sensible counterbalances to self-centred cis male characters. #5 Alien/s/III/IV Ripley was written as male, avoiding any gendered tropes once a female actress was cast (the same is not true of Prometheus).","No, due to lack of direct experience",Other (please clarify in Question 18 below),"I don't understand this question. Previous discussions suggest you're asking ""Do you agree that there are different interpretations of what hallmarks signify a strong character?"" in which case I'd answer yes. But I don't think most readers will easily understand this question.","Obvious sense of agency and proactivity, with believable motivations and choices.","Pure reactivity / only there to support others. Overly sexualised. Ditzy behaviour or other signifiers of low intelligence, whether or not they are the idiot hero (see TV Tropes entry).",Historical accuracy/context can always justify a lack of representation,"There are ways of telling old stories in more inclusive ways, by changing the setting. Shakespeare's plays are a great example. As is the film The Warriors (1979). It depends on whether the purpose is to tell a real story, a story in a specific context (which may or may not have leeway for inclusive adaptation), or to just tell the story, but with a fluid choice over context.",Yes,"All characters are is [archetypes + motivation], plus narrative, and maybe a visual. ","What role in the story do different characters ""naturally"" have? Who's viewpoint do we follow, and are they an authentic narrator? Who is the protagonist, who the antagonist? Is the story one of cooperation or strife? What genre and tropes do the story fall into?","Agency, personality, motivations, choices, wardrobe.",I assume much as the above.,I assume much as the above.,Skills bias and the interplay between gameplay and physical characteristics.,How would the character be different if they were an ungendered robot? Why do those differences exist? Do they make the story or their actions more believable? Do the characters remind you of anyone in real life (except as satire)?
40,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"I think that it's effective in part due to its simplicity (so can be applied to a wide variety of cases very easily) and its focus upon women not being defined by the men that are in the same media as them. But this simplicity limits the test, as there are massive differences between a conversation about a woman's hopes and dreams/several conversations throughout the piece of media that all hold meaning and a singular conversation that is not about a man, but about something that is near meaningless/ has no impact on the plot",Yes,"These are good additions! But also I feel as if it shouldn't be limited to just 2 women having conversations: gender itself is incredibly diverse and women should be represented in a way that permits them to interact with all those around them in a meaningful way, not just other women.",,,Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,,,,,,
