ID,Gender,Age,Country,How often movies,How often games,Women in media important,Use Bechdel before,Is Bechdel good?,Bechdel comments,Modifications on Bechdel,What Bechdel Mods,Film good rep,Games good rep,Strength,Strength comments,Good strong traits,Bad strong traits,Historical context,Context comments,Representation changed,Rep changed comments,Film Narrative,Film Characters,Game Narrative,Game Characters,Game Gameplay,Personally assess
38,Woman,42-50,United States,At least once a day,At least once a week,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Tests wrong criteria,Yes,"Girl character autonomy, independent","Grace and Frankie, women w realistic struggles","Ni No Kuni, Donut County, My Time at Portia, My Time at Sandrock, gender unimportant in characters",Yes,I agree that there's no single correct definition of a strong character and nor do I think that having strength as a trait is necessarily important to being a robust and well-designed/written character.,"Individuality, realistic, independent agenda",girl ex machina,Historical accuracy/context can justify a lack of representation in some instances,"It's important to not whitewash historical events for the sake of making them more palatable. But we don't have to celebrate mistreatment, etc. either.",Yes,"Recommend reading Ways of Seeing by John Berger (section about male gaze). Really good for thinking about how woman have been socialised to be accustomed to being looked at (""spectated upon"") where as men are raised to be ""spectators"" of women, and how this plays into how see ourselves and others, and how this dynamic has been represented throughout history in art and media.","Importance, dialogue, plot","Appearance, stereotypes, tropes",Plot,"Appearance, immersion, choices","choices, appearance","tropes, stereotypes, well_written"
39,Man,42-50,United Kingdom,At least once a week,At least once a week,Very important,"Yes, I have heard of and used it before",No,"Lacks nuance, studios making films to pass even if bad rep",No,,"Buffy the Vampire Slayer, important woman, Handmaid's Tale, women w patriarchical struggles, Watchmen (series), important independent women, Billions, smart women, Alien, important woman originally written as man to avoid stereotypes",,Other (please clarify in Question 18 below),"I don't understand this question. Previous discussions suggest you're asking ""Do you agree that there are different interpretations of what hallmarks signify a strong character?"" in which case I'd answer yes. But I don't think most readers will easily understand this question.","Autonomy, realistic","Reactive, unimportant, sexualised. stupid",Historical accuracy/context can always justify a lack of representation,"There are ways of telling old stories in more inclusive ways, by changing the setting. Shakespeare's plays are a great example. As is the film The Warriors (1979). It depends on whether the purpose is to tell a real story, a story in a specific context (which may or may not have leeway for inclusive adaptation), or to just tell the story, but with a fluid choice over context.",Yes,"All characters are is [archetypes + motivation], plus narrative, and maybe a visual. ","Roles, perspective, genre, tropes","Autonomy, personality, motivations, choices, appearance","Roles, perspective, genre, tropes","Autonomy, personality, motivations, choices, appearance","Abilities, controls, appearance","Irreplacable_with_guy, relatability, realistic"
40,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),"Indicative, lacks nuance",Yes,"Minimum conversation length, specific convo topics, character appearance, don’t limit to girl/girl convos",,,Yes,,,,Historical accuracy/context can justify a lack of representation in some instances,,Yes,,,,,,,
41,Non-binary,24-29,France,At least once a day,At least once a year,Very important,"Yes, I have heard of it before",No,"Indicative when passing, failing says a lot",Other (please clarify in Question 14 below),"Split into multiple tests/criteria, add production criteria","Le Portrait de la Jeune Fille en Feu, written by a woman, filmed by women. Princess Cyd",,Yes,,"Ruthlessness, manly","Caring, perceiveness-anxiety",Historical accuracy/context can justify a lack of representation in some instances,"I would say history cannot exactly justify it, because there are few instances where women did not participate. Women were on the front, just not being soldiers most of the time but they were there. If you want to tell the story of world leaders for example, there are so few women, even today, that the context could justify it. Same in most men-dominated fields, like football. If you were to film a story about an incel group, there would be v few women, as these groups are very much by men, for men. ",Yes,,Everything,"Everything, appearance, music, cinematography",Everything,"Everything, appearance, music, cinematography",Everything,"Playable_girl, appearance, actions"
42,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Very important,"Yes, I have heard of it before",No,Indicative,No,Add character action criteria,"hidden figures (movie), realistic women","Celeste, realistic woman, stereotypically negative traits add to rep",No,"While strength is still good representation, i would still consider the weakest, most pathetic and nuanced character as good representation. Good representation is variation in character, rather than how strong she is. ","outspoken, brave, strong-willed, big weapons, physically strong","whiny, physically weak, cowardly",Historical accuracy/context can justify a lack of representation in some instances,"The example given in the question is a very good example for this justification, however there are some historical movies where there is a lack of women, or bad representation, just through laziness in storytelling. Although i cant think of an example even after looking online so i may just be making this up. ",Yes,"Things can only get better, and if we criticize people who try to improve their rep then we discourage others from doing the same. ","Importance, relationships, goals"," motivations, appearance and personality, decisions","Skippableness, interactions, screentime, importance, relationships, goals"," motivations, appearance and personality, decisions",Abilities,"stereotypes, surprise"
43,Woman,24-29,United Kingdom,At least once a day,At least once a week,Very important,"Yes, I have heard of and used it before",No,Can pass bad rep,Yes,Convo narrative relevance,"A league of their own (tv series), lots of varied women given positive moments","Assassins Creed Odyssey, playable woman",Yes,,"Physically strong, determined, confident, kind","Physically weak, submissive, snide, bitter",Historical accuracy/context can justify a lack of representation in some instances,The issue arises when historical context is attempted to be used as justification in all circumstances. It is a problem when “historical accuracy” is used as an excuse for blatant misogyny/racism/homophobia,Yes,"Given the typical change is putting clothes on the female character, that’s not changing the essence of the character so can and should be changed to be better representation of women","Plot, importance","personality, values, goals",player-choice,"personality, values, goals","Character development, dialogue",
44,Prefer not to say,24-29,United Kingdom,At least once a week,At least once a day,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Doesn't work for modern rep issues,Other (please clarify in Question 14 below),,"Fullmetal Alchemist: Brotherhood & Dorohedoro, realistic women equal to men, Firefly, progressive for time period, Princess Mononoke, understandable strong independent women, Chainsaw man, portrayal fits theming including unlikable traits","Hades, Gris, Fire Emblem: Three Houses, women w unlikable traits",Yes,Anything that reduces a women to an object/more palatable for the consumption of the audience is something that I think detracts from the strength of a character. Because of this I especially enjoy women that are designed to be unlikable. ,Autonomy,,Historical accuracy/context can never justify a lack of representation,"I don't think historical accuracy matters unless the focus of the piece of media is a commentary/documentary of race, sex, etc. ",Yes,,"Themes, intention",Themes,"Themes, intentions",Themes,"stereotypes, narrative cohesion","Autonomy, appearance, narrative_cohesion, actions, well_written"
45,Genderless,24-29,United Kingdom,At least once a day,At least once a month,Very important,"Yes, I have heard of and used it before",No,Indicative,No,,"She-ra, varied women, gender unimportant in characters, Extraordinary Attorney Woo, women in power, Case of Hana & Alice, well-written women, Midsommar, well-rounded portrayal of women","Heart of the Woods, well-written varide women, Night in the Woods, gender unimportant in characters, Sayonara Wild Hearts, emotionally open women w struggles",Other (please clarify in Question 18 below),"While there are traits that can come together to build a strong female character, there is a lot more to it than just slapping together some buzzwords for what makes a female character ""good"" you know? So like yeah there are traits that help make a female character strong, and ones that hinder, but just a list of traits is basically meaningless unless you have the context around them? And show how they come together to form a whole person.","Well-written, growth","unjustifiedly sexualised, one-dimensional, physically stereotypical",Historical accuracy/context can justify a lack of representation in some instances,"in very specific cases yes, but usually no. women have always existed and been a part of everything in every time, even if they weren't documented as much they were still there. maybe they weren't on the front lines but they still played a massive role in the war you know? there should be room for women in most narratives.",Yes,"honestly this is how it should be? if someone is continuing to make a character who was not good female representation, i would hope they adjust her to be better representation going forward. there is a lot more awareness of these issues now so i think it's okay to accept this growth as a good thing.","Character development, themes, importance","Well-written, appearance, stereotypes, character development, diversity","Character development, skippableness, screentime, themes","Well-written, appearance, stereotypes, character development, diversity","skippableness, sex, diversity","Screentime, well_written, relationships, roles"
46,Man,18 - 23,United States,At least once a week,At least once a day,Quite important,No,Yes,,Yes,"Convo length, independendly important girl character","Star Wars, strong women","Lara Croft (2013), vulnerable woman",Yes,No,"Determined, forms emotional bonds with other characters, intelligent",,Historical accuracy/context can justify a lack of representation in some instances,No,Yes,No,Importance,Stereotypes,Importance,Stereotypes,Choices,Well-written
47,Non-binary,18 - 23,United Kingdom,At least once a week,At least once a day,Very important,"Yes, I have heard of it before",No,"Can fail good rep, can pass bad rep, lacks nuance",Yes,,"Arrival, smart important woman, The Good Wife, The Good Fight, Criminal Minds, physically strong women w character development","Dragon Age, well-written women, Horizon Zero Dawn, Horizon Forbidden West diverse women, well-written playable woman",No,,Well-written,Dependent,Historical accuracy/context can justify a lack of representation in some instances,"The example given in Q.21 (war movies on the front lines) is an example where it can be justified, but something like Game of Thrones cannot. People preach about historical accuracy when it comes to women (and minority groups) in the show, but dragons, the undead, shadow assassins, people coming back to life etc. aren't questioned. God forbid they see women pick up a sword and use it well.",Yes,"Representation can and should evolve over time to keep up with current demographics. When the ideas were first conceived, men were generally the primary consumers of video games so it made sense to appeal to them (even though it causes issues later down the line). Nowadays video games have a much more diverse audience and so they should themselves be a diverse product. We also shouldn't forget the characters and games that shaped and inspired so many new creations, so I'm all for bringing them back for a modern rendition.",,,,,,Realistic
48,Man,18 - 23,United Kingdom,At least once a day,At least once a week,Moderately important,"Yes, I have heard of it before",Yes,,No,,"Arcane, important women, gender unimportant in characters","Tomb Raider, goal-oriented woman uninterested in romance",No,I personally believe a piece of media has strong representation when the story doesn’t drastically change if you were to swap them out for a man (except stories that are about struggles exclusive to women) ,,,Historical accuracy/context can justify a lack of representation in some instances,I believe historical accuracy can justify it if the media in question is trying to be honest to the time it is representing but otherwise it is very circumstantial ,Yes,No I think nowadays especially it should be more of an aim to make better representations of women ,"Setting, genre, roles",,"Setting, genre, roles",Appearance,,"Roles, well_written"
49,Man,24-29,United States,At least once a month,At least once a day,Moderately important,"Yes, I have heard of it before",Yes,,No,,"Holo graffiti, non-stereotyped women, Inside Job","Fallout 4, gender unimportant in enemies",Yes,"There's some things that can be up for debate. Some people argue on whether suffering pain makes you strong, or whether it needs to be paired with initiative to seek out solutions and to have your own goals beyond survive it all.","Resilient, determined, competent, ruthless","helpless, reliant, one-dimensional",Historical accuracy/context can justify a lack of representation in some instances,,Yes,,"Importance, context",Writing,"Purpose, importance","Importance, roles, themes, appearance","Roles, stats, plot, importance","Roles, appearance"
50,Woman,18 - 23,United States,At least once a week,At least once a day,Quite important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),,Yes,Relationships,Timeless,,No,"A lot of well-represented female characters with agency in their lives aren't physically strong or good at all tasks, but they aren't seen as ""strong"" female characters; these traits aren't required of well-represented male characters, but physical strength is seen as a requirement for strong female characters","intelligent choices, independent",Dependent,Historical accuracy/context can justify a lack of representation in some instances,"Women have always existed and been involved in history (WW2 medical personnel), but there are specific instances where female characters can't be present (ex. small special ops teams stories)",Yes,,,,,,,
51,Woman,51-60,United Kingdom,At least once a day,At least once a year,Very important,"Yes, I have heard of it before",No,Lacks nuance,Yes,"Appearance, convo length, convo quality, age, body size, status","Fleabag, dialogue, realistic, Motherland, variety, realistic, Wild, struggles, independent",,No,"I think there's a perception that a strong character is about being powerful. In my opinion a strong character is one that is well defined, flawed and develops through the storyline. It's not about physical strength or emotional resilience. It's about being a rounded, believable character that has a purpose within the story other than looking pretty or being the love interest. ",,One-dimensional,Historical accuracy/context can justify a lack of representation in some instances,"I think it's too black and white to say 'always' and 'never'. Sorry, that's a bit of a cop out answer. ",Yes,There is always the potential for improving representation.,"Plot, dialogue, theme","Relationships, style, screentime",Plot,"Appearance, moveset",,
52,Man,24-29,United Kingdom,At least once a week,At least once a day,Very important,"Yes, I have heard of it before",No,,No,Convo context,"Shirobako, variety, strong","Pokemon, playable girl",Yes,,Overcomes obstacles,Dependent,Historical accuracy/context can always justify a lack of representation,,Other (please clarify in Question 24 below),"I think it's a complex and nuanced topic, and I don't think forcing androgyny into an existing character's design is the right way of improving representation of women. Boiling the perception of a female character's strength down to appearance just seems shallow","Struggles, plot",,,,,
